,ano,uf,mortos,feridos,ilesos
336,2019,MT,226,2369,2362
337,2019,PA,136,927,890
338,2019,PB,128,1700,1417
339,2019,PE,308,2844,2705
340,2019,PI,149,1463,1337
341,2019,PR,500,8538,8212
342,2019,RJ,352,5287,4685
343,2019,RN,90,1715,1362
344,2019,RO,89,1836,1913
345,2019,RR,38,308,236
346,2019,RS,303,5347,5136
347,2019,SC,403,9862,8333
348,2019,SE,62,744,527
349,2019,SP,204,4733,4552
350,2019,TO,79,575,507
351,2020,AC,6,159,124
352,2020,AL,46,377,317
353,2020,AM,9,83,57
354,2020,AP,2,93,57
355,2020,BA,253,2202,1768
356,2020,CE,79,890,754
357,2020,DF,25,594,643
358,2020,ES,70,1537,1145
359,2020,GO,146,2080,1757
360,2020,MA,98,641,560
361,2020,MG,374,5490,3887
362,2020,MS,60,854,671
363,2020,MT,114,1190,1116
364,2020,PA,67,590,577
365,2020,PB,50,852,604
366,2020,PE,165,1405,1228
367,2020,PI,69,650,526
368,2020,PR,309,4035,3733
369,2020,RJ,138,2389,2213
370,2020,RN,50,741,591
371,2020,RO,38,924,885
372,2020,RR,22,151,107
373,2020,RS,136,2629,2460
374,2020,SC,210,4617,3740
375,2020,SE,25,350,283
376,2020,SP,125,2208,2054
377,2020,TO,47,368,300
